store_id,name,brand,region,lat,lng,open,close
SEL-001,강남역점,이니스프리,서울,37.4979,127.0276,09:00,22:00
SEL-002,명동점,아모레스토어,서울,37.5636,126.9826,10:00,22:00
SEL-003,홍대점,에뛰드,서울,37.5563,126.9236,11:00,23:00
GYG-001,분당서현점,라네즈,경기,37.385,127.123,10:00,22:00
BSN-001,서면점,아리따움,부산,35.1577,129.0594,10:00,22:00
DGU-001,동성로점,이니스프리,대구,35.8693,128.595,10:00,22:00
ICN-001,구월점,에뛰드,인천,37.449,126.705,10:00,22:00
GWJ-001,충장로점,아리따움,광주,35.1466,126.922,10:00,22:00
DJN-001,둔산점,라네즈,대전,36.3504,127.3845,10:00,22:00
USN-001,삼산점,아모레스토어,울산,35.5384,129.3114,10:00,22:00
